S.No	Player Name	Country	Role	Base Price(In Cr)	Tier	Age	Batting Style	Bowling Style	Form	Matches	Runs	Wickets	Average	Strike Rate	Economy	Capped Status	Primary Auction Category	Auction Tags
134	Gerald Coetzee	South Africa	Bowler	1.25	Pro	25	Right-hand bat	Right Arm Fast	In Demand	14	31	15	31.47	93.94	10.37	Capped	Bowlers	Capped Players | Bowlers
135	Fazalhaq Farooqi	Afghanistan	Bowler	2	Pro	25	Right-hand bat	Left Arm Fast Medium	In Demand	12	5	6	72.83	33.33	10.32	Capped	Bowlers	Capped Players | Bowlers
136	Adam Milne	New Zealand	Bowler	2	Pro	33	Right-hand bat	Right Arm Fast	In Demand	10	23	7	46.71	79.31	9.48	Capped	Bowlers	Capped Players | Bowlers
137	Azmatullah Omarzai	Afghanistan	All-Rounder	1.5	Pro	26	Right-hand bat	Right Arm Medium Fast	In Demand	16	99	12	12.38	133.78	9.69	Capped	All-rounders	Capped Players | All-rounders
138	Anuj Rawat	India	Wicketkeeper	0.75		26	Left-hand bat	N/A	In Demand	24	318	0	19.88	119.1	0	Uncapped	Wicketkeepers	Uncapped Players | Wicketkeepers
139	Daniel Sams	Australia	All-Rounder	1.5	Pro	33	Right-hand bat	Left Arm Fast	In Demand	16	44	14	4.89	100	8.72	Capped	All-rounders	Capped Players | All-rounders
140	Nathan Ellis	Australia	Bowler	1.25	Pro	31	Right-hand bat	Right Arm Fast Medium	In Demand	17	19	19	29.16	76	8.66	Capped	Bowlers	Capped Players | Bowlers
141	Suyash Sharma	India	Bowler	0.75		22	Right-hand bat	Right Arm Leg Spin	In Demand	29	0	20	43.15	0	8.63	Uncapped	Bowlers	Uncapped Players | Bowlers
142	Glenn Phillips	New Zealand	Batter	2	Pro	29	Right-hand bat	Right Arm Off Spin	In Demand	11	107	2	11.89	125.88	0	Capped	Batters	Capped Players | Batters
143	Jayant Yadav	India	All-Rounder	0.75	Pro	36	Right-hand bat	Right Arm Off Spin	In Demand	20	40	8	10	111.11	6.85	Capped	All-rounders	Capped Players | All-rounders
144	Kuldeep Sen	India	Bowler	0.75	Pro	29	Right-hand bat	Right Arm Fast Medium	In Demand	12	0	14	27.64	0	9.63	Capped	Bowlers	Capped Players | Bowlers
145	Dushmantha Chameera	Sri Lanka	Bowler	0.75	Pro	34	Right-hand bat	Right Arm Fast	In Demand	19	53	13	46.38	126.19	9.73	Capped	Bowlers	Capped Players | Bowlers
146	Atharva Taide	India	Batter	0.3		25	Left-hand bat	Right Arm Off Spin	In Demand	10	260	0	26	146.89	0	Uncapped	Batters	Uncapped Players | Batters
